	GO:0016071	GO:0000776
Slbp	1	0
Slc15a4	0	0
Slc23a2	0	0
Slc23a3	0	0
Slc25a17	0	0
Slc25a19	0	0
Slc2a1	0	0
Slc30a3	0	0
Slc39a10	0	0
Slc3a2	0	0
Slc52a2	0	0
Slc6a15	0	0
Slc6a9	0	0
Slc7a11	0	0
Slc7a9	0	0
Slco4a1	0	0
Smim14	0	0
Smim20	0	0
Smim22	0	0
Smn1	1	0
Smu1	1	0
Smyd2	0	0
Snrnp27	1	0
Snrnp70	1	0
Snrpb2	1	0
Snx8	0	0
Sohlh2	0	0
Spag5	0	1
Spata21	0	0
Spata31d1d	0	0
Spata7	0	0
Spcs2	0	0
Spin1	0	0
Spire1	0	0
Sptlc1	0	0
Srf	0	0
Srprb	0	0
Srsf2	1	0
Ss18	0	0
Ssc4d	0	0
Ssr3	0	0
Stard13	0	0
Stat5a	0	0
Stk24	0	0
Stk35	0	0
Stom	0	0
Ston2	0	0
Strn	0	0
Strn4	0	0
Stub1	0	0
Stx18	0	0
Stx4a	0	0
Stx5a	0	0
Sun1	0	0
Supv3l1	1	0
Suv39h2	0	0
Swsap1	0	0
Syf2	1	0
Syne3	0	0
Tada1	0	0
Tada2a	0	0
Taf13	0	0
Taf6l	0	0
Taldo1	0	0
Tarbp2	0	0
Tardbp	1	0
Tars	0	0
Tars2	0	0
Tasor2	0	0
Taz	0	0
Tbc1d10b	0	0
Tbc1d15	0	0
Tbcc	0	0
Tcea1	0	0
Tcl1	0	0
Tcl1b1	0	0
Tcl1b2	0	0
Tcl1b3	0	0
Tcl1b4	0	0
Tcl1b5	0	0
Tent4a	0	0
Tent5b	0	0
Tex264	0	0
Tfap2e	0	0
Tfip11	1	0
Tfpt	0	0
Tgds	0	0
Tgfa	0	0
Thap11	0	0
Thap3	0	0
Thap4	0	0
Thoc2	1	0
Thoc6	1	0
Thsd7a	0	0
Thumpd1	0	0
Timm50	0	0
Tm2d3	0	0
Tmco4	0	0
Tmem109	0	0
Tmem120a	0	0
Tmem126a	0	0
Tmem128	0	0
Tmem147	0	0
Tmem205	0	0
Tmem209	0	0
Tmem251	0	0
Tmem255b	0	0
Tmem256	0	0
Tmem259	0	0
Tmem260	0	0
Tmem53	0	0
Tomm7	0	0
Top1	0	0
Tor1a	0	0
Tpgs1	0	0
Tpi1	0	0
Tprg	0	0
Tpx2	0	0
Traf3ip1	0	0
Trafd1	0	0
Trappc1	0	0
Trim27	0	0
Trim59	0	0
Trim75	0	0
Trim80	0	0
Trir	0	0
Troap	0	0
Trp53bp1	0	1
Trp53inp1	0	0
Trp73	0	0
Trps1	0	0
Tsc22d4	0	0
Tsga10ip	0	0
Tspan9	0	0
Tsr3	0	0
Ttc37	0	0
Ttll4	0	0
Tuba4a	0	0
Tubal3	0	0
Tubb3	0	0
Tubb6	0	0
Twf1	0	0
Txnip	0	0
Tymp	0	0
Tyms	0	0
Tyw1	0	0
U2af2	1	0
Uba3	0	0
Ubac2	0	0
Ube2h	0	0
Umodl1	0	0
Usp28	0	0
Usp39	1	0
Utp20	0	0
Vim	0	0
Vps13c	0	0
Wapl	0	0
Wars	0	0
Wdr18	0	0
Wdr20	0	0
Wdr25	0	0
Wdr47	0	0
Wdr73	0	0
Wdr92	0	0
Wee2	0	0
Whamm	0	0
Xrn2	1	0
Yipf1	0	0
Yipf3	0	0
Ythdf3	0	0
Zc3h3	1	0
Zc3h6	0	0
Zcchc8	1	0
Zfand3	0	0
Zfp184	0	0
Zfp207	0	1
Zfp27	0	0
Zfp280d	0	0
Zfp296	0	0
Zfp40	0	0
Zfp449	0	0
Zfp472	0	0
Zfp57	0	0
Zfp574	0	0
Zfp60	0	0
Zfp616	0	0
Zfp653	0	0
Zfp654	0	0
Zfp655	0	0
Zfp735	0	0
Zfp750	0	0
Zfp873	0	0
Zfp957	0	0
Zfpl1	0	0
Zfyve1	0	0
Zkscan14	0	0
Zkscan17	0	0
Zkscan5	0	0
Zpr1	1	0
Zranb3	0	0
Zswim3	0	0
Zswim8	0	0


GO:0016071	mRNA metabolic process
GO:0000776	kinetochore
